"css-1undbtb-7937d88b--AVideoContainer href","css-16s6atg-7937d88b--Box src","video-count","css-635kow-7937d88b--DivDescriptionContentContainer","css-1wx21hr-7937d88b--StyledCommonLink href","css-l25nk3-7937d88b--StrongText","css-1wx21hr-7937d88b--StyledCommonLink href 2","css-l25nk3-7937d88b--StrongText 2","css-1wx21hr-7937d88b--StyledCommonLink href 3","css-l25nk3-7937d88b--StrongText 3","css-1wx21hr-7937d88b--StyledCommonLink href 4","css-l25nk3-7937d88b--StrongText 4","link-a11y-focus href","css-10s4roi-7937d88b--ImgAvatar src","css-1feiajn-7937d88b--PUniqueId","css-12tbsno-7937d88b--DivTimeTag","css-1wx21hr-7937d88b--StyledCommonLink href 5","css-l25nk3-7937d88b--StrongText 5","css-1wx21hr-7937d88b--StyledCommonLink href 6","css-l25nk3-7937d88b--StrongText 6","css-1wx21hr-7937d88b--StyledCommonLink href 7","css-l25nk3-7937d88b--StrongText 7"
"https://www.tiktok.com/@anyasachedina/video/7554555142041816327","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oQFveA3o1AARB6mAEvcyGRVCpYufQXrAEx6gID~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=noAg%2FFJDkIL1bv18lF7S0axQGpM%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","27.8K","Guys it’s so good you need it","https://www.tiktok.com/tag/aritzia","#aritzia","https://www.tiktok.com/tag/mockneck","#mockneck","https://www.tiktok.com/tag/sweatfleece","#sweatfleece","https://www.tiktok.com/@aritzia","@Aritzia","https://www.tiktok.com/@anyasachedina","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7ccb61808e847240215d7cef73779ffd~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=55e45b9e&x-expires=1775743200&x-signature=wLn3H5K%2FT2rnyUJEWvXDHRyD2zU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","anyasachedina","2025-9-26","","","","","",""
"https://www.tiktok.com/@shopheydjon/video/7564531155169496351","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oEDonReXfACRDXDFIQk60uQAhFj8peowLqEQIq~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=yi6lBnSNzSd9uuDrfjBf2DgHMmQ%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","311","This set has no business being this soft and affordable","https://www.tiktok.com/tag/mockneck","#mockneck","https://www.tiktok.com/tag/matchingset","#matchingset","","","","","https://www.tiktok.com/@shopheydjon","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/5e184af8754cba0038221d8b4fca58a1~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=97409f41&x-expires=1775743200&x-signature=dZ9Cg93ecb7MAoyUZPbdDHDEWVU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","shopheydjon","2025-10-23","","","","","",""
"https://www.tiktok.com/@jewelskennedydesigns/video/7625660835695693087","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/o0IDp0A4kyy8EBLfKboEpkDAErVjT26EtAfFRy~tplv-photomode-zoomcover:720:720.jpeg?dr=9616&x-expires=1775743200&x-signature=dKDc6V5DJqKcl6f31OdfuOcyz6I%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5&ftpl=1","99","can never have too many mocknecks!!! link in bio while they’re still available🤍","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/ootd","#ootd","https://www.tiktok.com/tag/summerfit","#summerfit","https://www.tiktok.com/tag/mockneck","#mockneck","https://www.tiktok.com/@jewelskennedydesigns","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/81c38cbbfa162877165d8529046f3989~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=33a4960d&x-expires=1775743200&x-signature=4ZUGYl%2BS9bHA0SEQnyLtLwVrCto%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","jewelskennedydesigns","23h ago","https://www.tiktok.com/tag/loungewear","#loungewear","","","",""
"https://www.tiktok.com/@spencer.barbosa/video/7582368960272698644","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/ooCnfLAz8AgfLejMHMNJNNLweQMgXi9VW9Zgaf~tplv-photomode-zoomcover:720:720.jpeg?dr=9616&x-expires=1775743200&x-signature=SRNvy7tSiQuga5pJfKwU5A8XMXE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5&ftpl=1","284.2K","YES even he has fallen victim to","https://www.tiktok.com/@parkeofficial","@Parke","https://www.tiktok.com/tag/girls","#girls","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/mockneck","#mockneck","https://www.tiktok.com/@spencer.barbosa","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2537f291c44c12bfceb8c48ddc5929b0~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=aebcbd8a&x-expires=1775743200&x-signature=iE5hYA%2BqkfO9JQY234UodBSsl24%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","spencer.barbosa","2025-12-10","https://www.tiktok.com/tag/trend","#trend","","","",""
"https://www.tiktok.com/@myriah.clendenin/video/7546410453740604686","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/o4foBGRCEhDud6QEBPFxwEAHDfA1IgCojkASgA~tplv-photomode-zoomcover:720:720.jpeg?dr=9616&x-expires=1775743200&x-signature=3zU6qQKAsqBR7EjT3bUf0f8J68k%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5&ftpl=1","13.5K","if you have the bridal collection mock neck is it supposed to be a mint blue color??? How do I get this to shrink help!! I ordered the same size as my previous mock neck and it fits me like I want and this one is HUGE😭😭😭","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/parkehaul","#parkehaul","https://www.tiktok.com/tag/parkemockneck","#parkemockneck","https://www.tiktok.com/tag/helpme","#helpme","https://www.tiktok.com/@myriah.clendenin","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/0b02fce69dafd3aeab864ba6f19221c6~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=ddcb32bb&x-expires=1775743200&x-signature=p9xyL%2Bu2OauDJNxhhtKTjQE7eUc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","myriah.clendenin","2025-9-4","https://www.tiktok.com/tag/package","#package","","","",""
"https://www.tiktok.com/@beccers_gordonn/video/7566783132897152269","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/og4RqAEY6wtFoGSGEjxVeKgQDfAiFDGJ2BFppQ~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=jrMPbODybzKuOG7AEA0Ee2uT2cU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","44K","Tucking your hair in your hoodie is just better I can’t explain.","https://www.tiktok.com/@acta.wear","@ACTA Wear","https://www.tiktok.com/@melodyymiles","@Melody Miles","https://www.tiktok.com/tag/teacher","#teacher","https://www.tiktok.com/tag/teacherhair","#teacherhair","https://www.tiktok.com/@beccers_gordonn","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d356b4d6eaacbde146ccee435d529503~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=3fa30546&x-expires=1775743200&x-signature=HXaG9qgZR4FmmWISL1kKkNU9ccw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","beccers_gordonn","2025-10-29","https://www.tiktok.com/tag/hairtucking","#hairtucking","https://www.tiktok.com/tag/hairtuck","#hairtuck","https://www.tiktok.com/tag/purplehearts","#purplehearts"
"https://www.tiktok.com/@trinitysuchan/video/7611316445418409247","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oYCIUeagVA2jGSdQLe9IAJCq1IQLQu8DTmFBce~tplv-photomode-zoomcover:720:720.jpeg?dr=9616&x-expires=1775743200&x-signature=vTGox452hZmWtj%2FX6onz%2FTor704%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5&ftpl=1","22.9K","i need this mockneck in every color.","","","","","","","","","https://www.tiktok.com/@trinitysuchan","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/5083c0b76786b8da79393c018fb57153~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=0daf0c3c&x-expires=1775743200&x-signature=vNnzc%2Bymf5LvIWGybHKX10lFzsg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","trinitysuchan","2-26","","","","","",""
"https://www.tiktok.com/@hallesoswag/video/7579363538167188767","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oAfSk6xE0ptmIAEtTShFWEsDBIMeLIRv8nVADE~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=YUp818uxIUZTUu63I%2FB2gcCQGn4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","32.6K","When I die bury me in this mockneck pls also already spilled on it so on brand for me","","","","","","","","","https://www.tiktok.com/@hallesoswag","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/f12e0a72673ed45ff60bfafaab5d2fdc~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=db8da4db&x-expires=1775743200&x-signature=NJJ05Jxk3T95IguWpXHG0Q%2FO0k0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","hallesoswag","2025-12-2","","","","","",""
"https://www.tiktok.com/@ellelonghi/video/7608730578602544398","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oYsAmHfEXALHTe0kIQEhjbAeA1I1FcIADxE0Sv~tplv-photomode-zoomcover:720:720.jpeg?dr=9616&x-expires=1775743200&x-signature=%2B20hXdNx7Ry%2BTcGUQo%2FWAlIWXtw%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5&ftpl=1","200","AND they’re bogo half off right now!!! ☆","https://www.tiktok.com/@abercrombie","@abercrombie","https://www.tiktok.com/tag/abercrombiepartner","#AbercrombiePartner","https://www.tiktok.com/tag/fitcheck","#fitcheck","","","https://www.tiktok.com/@ellelonghi","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2eabd3aaba6b744d0a288a04128b6083~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=c7889395&x-expires=1775743200&x-signature=sRUh6lOuu3DCFmUAmDsTP1FsCPw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","ellelonghi","2-19","","","","","",""
"https://www.tiktok.com/@mollymullahy/video/7608986429078768909","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/o0OI88LMfQGqtsFANoQAeKIrTxQPjfqHkHiRGC~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=pWoQTrgxQqkrCfvYTgtows81yYY%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","2546","the cutest ohio polka dot  mockneck from","https://www.tiktok.com/@indianolacollective","@Indianola Collective","https://www.tiktok.com/tag/mockneck","#mockneck","https://www.tiktok.com/tag/ohio","#ohio","https://www.tiktok.com/tag/ohiostate","#ohiostate","https://www.tiktok.com/@mollymullahy","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1240197ce174027ad6f19e2ee758556f~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=37ba7b8a&x-expires=1775743200&x-signature=nH4iegYRlHeCo11hf%2FTo5qEnfBs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","mollymullahy","2-20","https://www.tiktok.com/tag/smallbusinessowner","#smallbusinessowner","https://www.tiktok.com/tag/polkadot","#polkadot","",""
