"css-1undbtb-7937d88b--AVideoContainer href","css-16s6atg-7937d88b--Box src","video-count","css-635kow-7937d88b--DivDescriptionContentContainer","css-1wx21hr-7937d88b--StyledCommonLink href","css-l25nk3-7937d88b--StrongText","css-1wx21hr-7937d88b--StyledCommonLink href 2","css-l25nk3-7937d88b--StrongText 2","css-1wx21hr-7937d88b--StyledCommonLink href 3","css-l25nk3-7937d88b--StrongText 3","css-1wx21hr-7937d88b--StyledCommonLink href 4","css-l25nk3-7937d88b--StrongText 4","css-1wx21hr-7937d88b--StyledCommonLink href 5","css-l25nk3-7937d88b--StrongText 5","css-1wx21hr-7937d88b--StyledCommonLink href 6","css-l25nk3-7937d88b--StrongText 6","link-a11y-focus href","css-10s4roi-7937d88b--ImgAvatar src","css-1feiajn-7937d88b--PUniqueId","css-12tbsno-7937d88b--DivTimeTag"
"https://www.tiktok.com/@kghalter/video/7625672224153881887","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oAjERJD7Ffy501T5PR2uABlEBjvQQVGfAp9FCE~tplv-photomode-zoomcover:720:720.jpeg?dr=9616&x-expires=1775743200&x-signature=Fjq%2FS4%2F%2BEgG8L3WtxjH1uagwPDc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5&ftpl=1","457","Parke mockneck sizing review bc I watched so many videos trying to figure it out. parke bridal collection mocknecks","https://www.tiktok.com/tag/parkemockneck","#parkemockneck","https://www.tiktok.com/tag/parkebridal","#parkebridal","https://www.tiktok.com/tag/parkesizing","#parkesizing","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/tryonwithme","#tryonwithme","https://www.tiktok.com/@parkeofficial","@Parke","https://www.tiktok.com/@kghalter","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/a03ab47c5fbfc5299b17c58736ddeddd~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=2e36b747&x-expires=1775743200&x-signature=tUsIwdYquXkZT%2B42sN21tsTAj8Y%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","kghalter","23h ago"
"https://www.tiktok.com/@carrieswz/video/7604303691188931870","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oQtHj8fJTIqLIlI26CDF3ufEIGDC3AAhcAfEgD~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=xSZKHEDb23kZytBZaVN5tAjxH0c%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","9969","I totally get some people like the oversized fit but this was toooo much for me 😔😔","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/parkevalentinesdaydrop","#parkevalentinesdaydrop","https://www.tiktok.com/tag/sweatshirt","#sweatshirt","https://www.tiktok.com/tag/mockneck","#mockneck","","","","","https://www.tiktok.com/@carrieswz","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7338146787113238574~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=2f3e6003&x-expires=1775743200&x-signature=8a2CeABnykAeVwmCj91927RzAMA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","carrieswz","2-7"
"https://www.tiktok.com/@myriah.clendenin/video/7546410453740604686","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/o4foBGRCEhDud6QEBPFxwEAHDfA1IgCojkASgA~tplv-photomode-zoomcover:720:720.jpeg?dr=9616&x-expires=1775743200&x-signature=3zU6qQKAsqBR7EjT3bUf0f8J68k%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5&ftpl=1","13.5K","if you have the bridal collection mock neck is it supposed to be a mint blue color??? How do I get this to shrink help!! I ordered the same size as my previous mock neck and it fits me like I want and this one is HUGE😭😭😭","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/parkehaul","#parkehaul","https://www.tiktok.com/tag/parkemockneck","#parkemockneck","https://www.tiktok.com/tag/helpme","#helpme","https://www.tiktok.com/tag/package","#package","","","https://www.tiktok.com/@myriah.clendenin","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/0b02fce69dafd3aeab864ba6f19221c6~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=ddcb32bb&x-expires=1775743200&x-signature=p9xyL%2Bu2OauDJNxhhtKTjQE7eUc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","myriah.clendenin","2025-9-4"
"https://www.tiktok.com/@darcymcqueenyyy/video/7616459953447996703","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oMi3DAICEiAfgICzA0AA1wCYKBi0VG2BYqGGZ3~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=AY7kyp2GHQnX6TDQAF5mLMY2gMc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","27.7K","it was time for a COLLECTION VIDEO😭✨💗 omg…","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/mocknecks","#mocknecks","https://www.tiktok.com/tag/clothescollection","#clothescollection","https://www.tiktok.com/tag/parkemockneck","#parkemockneck","https://www.tiktok.com/tag/collection","#collection","","","https://www.tiktok.com/@darcymcqueenyyy","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/cc3d49f6437a815095c5a80ebac3bca1~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=6c1ffe20&x-expires=1775743200&x-signature=usxFEkmtklCr30ufBOWkHpDQnCI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","darcymcqueenyyy","3-12"
"https://www.tiktok.com/@emilyirlbeck/video/7623495700881460511","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oEEADIA9E9BZwAylrAABBEajGOMxEROiRIicP~tplv-photomode-zoomcover:720:720.jpeg?dr=9616&x-expires=1775743200&x-signature=wzage5KMZ0NyTxYfarse%2BIB4yuw%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5&ftpl=1","213","🔗 in bio!!!","https://www.tiktok.com/@bloomingdales","@Bloomingdales","https://www.tiktok.com/@parkeofficial","@Parke","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/parkebloomingdales","#parkebloomingdales","https://www.tiktok.com/tag/parkehaul","#parkehaul","https://www.tiktok.com/tag/parkemockneck","#parkemockneck","https://www.tiktok.com/@emilyirlbeck","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/363759b3af98b7ee3168d56b0f49ef38~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=62afae8b&x-expires=1775743200&x-signature=EU2muX3xTCmOCTdEirhWHT56weE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","emilyirlbeck","6d ago"
"https://www.tiktok.com/@kathleen.post/video/7519133838442777870","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/ow4JFBUvZFIUkSEaRtIUXAiVlPgEIk46WiBhB~tplv-tiktokx-dmt-logom:tos-useast5-i-0068-tx/oIf0sJIBCCBLbZOiXVipKEAJBPABIwB9KJAJ1A.image?dr=9634&x-expires=1775743200&x-signature=TqRFL4P2XHAHFOsHrFeg63ACl%2F4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","23.3K","Parke coastal! Wearing l/xl in mockneck! ❤️ so good 👏🏼","https://www.tiktok.com/@chelseaparkee","@chelsea parke","https://www.tiktok.com/@parkeofficial","@Parke","","","","","","","","","https://www.tiktok.com/@kathleen.post","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7343059696251502638~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=426c5055&x-expires=1775743200&x-signature=CkMjISKb6oRZh23PupZeiqcbG84%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","kathleen.post","2025-6-23"
"https://www.tiktok.com/@alannabarron/video/7615454677852785934","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/os54gALBnGkj0PffHKGAg4Xrj0TADCqI2wIOeM~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=K40CdLVVielWkU2a19OkR%2F1hSqE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","2401","I’m freaking out thank you so much","https://www.tiktok.com/@parkeofficial","@Parke","https://www.tiktok.com/@chelseaparkee","@chelsea parke","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/parkemockneck","#parkemockneck","","","","","https://www.tiktok.com/@alannabarron","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/0304d42bde563cd5a7b863a923f53cb8~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=df3a7d7f&x-expires=1775743200&x-signature=yryxVZkIq%2B2nTg%2F3Mjumu0cYIIo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","alannabarron","3-9"
"https://www.tiktok.com/@taylorgallis/video/7473923857414606126","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oQn4iECBPAtg3k7sAZ3ATEbkRA42ii7zIsBkx~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=Q6%2FdCtEwaJCtmUGsfNWZttWaQfQ%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","904","My face the whole video 😮 thank you so much","https://www.tiktok.com/@parkeofficial","@Parke","https://www.tiktok.com/@chelseaparkee","@chelsea parke","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/parkemockneck","#parkemockneck","","","","","https://www.tiktok.com/@taylorgallis","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/b40f30555d2049fb0e8e564aa6a62e24~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=2da6db27&x-expires=1775743200&x-signature=iFiri4X047QSDFSQwWF7iIxeeXg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","taylorgallis","2025-2-21"
"https://www.tiktok.com/@loveatfirstbag/video/7603857726556491022","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oQD7RfA7EE34tlADlVpEGDHChI9TS2AfgAoFCR~tplv-tiktokx-origin.image?dr=9636&x-expires=1775743200&x-signature=G6AFRRLalH4vi83bFkv0FtIiX6M%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","27.8K","Since I scored my first Parke Mockneck pre-loved, I found it interesting how much of a size difference there is between a washed/dried mockneck and a brand new one! Which fit do we like better? 🤔","https://www.tiktok.com/tag/parke","#parke","https://www.tiktok.com/tag/parkevalentinesdaydrop","#parkevalentinesdaydrop","https://www.tiktok.com/tag/parkemockneck","#parkemockneck","https://www.tiktok.com/tag/foryoupage","#foryoupage","https://www.tiktok.com/tag/sizing","#sizing","https://www.tiktok.com/@chelseaparkee","@chelsea parke","https://www.tiktok.com/@loveatfirstbag","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/c7605c2c4b77a18fa958b6e6dd648186~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=fd705132&x-expires=1775743200&x-signature=%2FgYeFep5GmPhQrTLmaT1zQ3%2Fs94%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","loveatfirstbag","2-6"
"https://www.tiktok.com/@allymcnulty/video/7623201961071922463","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oMRC3FEXAUafGoy47pFeAMVWaAIEQAGDDwGPEA~tplv-tiktokx-dmt-logom:tos-useast8-i-0068-tx2/o0b5BfysCiqKIdD16A0AiBTLEIIYAA0uDilAQE.image?dr=9634&x-expires=1775743200&x-signature=z8bnpjO7cdBkylWtRpm%2Br4WagAo%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5","1074","The cutest mockneck out there!! Thank you","https://www.tiktok.com/@parkeofficial","@Parke","https://www.tiktok.com/@chelseaparkee","@chelsea parke","","","","","","","","","https://www.tiktok.com/@allymcnulty","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/085216486a6c315f7e529cd82cf06d77~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=7a6bbfa4&x-expires=1775743200&x-signature=wijumchmuGhnCDa9YlGxrmIeG%2Fs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","allymcnulty","1w ago"
